volume,vw,open,close,high,low,timestamp,transactions
4836975.0,1.4167,1.4453,1.4167,1.4586,1.4033,2010-11-02 04:00:00,1396
5612985.0,1.4424,1.4187,1.4513,1.5,1.4107,2010-11-03 04:00:00,1762
28122015.0,1.6049,1.5067,1.66,1.6887,1.4767,2010-11-04 04:00:00,8357
15164190.0,1.6216,1.658,1.6293,1.6647,1.5813,2010-11-05 04:00:00,4401
7642125.0,1.6358,1.6333,1.6653,1.6667,1.602,2010-11-08 05:00:00,2796
14366235.0,1.6557,1.6667,1.642,1.7127,1.6033,2010-11-09 05:00:00,4169
45915570.0,1.839,1.632,1.9573,1.998,1.6033,2010-11-10 05:00:00,14844
29176410.0,1.8903,1.9067,1.869,1.94,1.822,2010-11-11 05:00:00,11280
40937535.0,1.9714,1.8833,1.9893,2.0333,1.8713,2010-11-12 05:00:00,12723
39376995.0,2.104,2.0147,2.0533,2.196,2.0147,2010-11-15 05:00:00,13491
20215965.0,1.9721,2.0667,1.978,2.0933,1.8947,2010-11-16 05:00:00,6600
11255115.0,1.9729,2.0133,1.966,2.05,1.9073,2010-11-17 05:00:00,3710
14343720.0,1.987,2.0447,1.9927,2.0493,1.928,2010-11-18 05:00:00,4998
17257410.0,2.0473,2.0107,2.066,2.0913,1.98,2010-11-19 05:00:00,5537
22949580.0,2.1817,2.1047,2.2267,2.23,2.1,2010-11-22 05:00:00,7740
23671050.0,2.3108,2.2193,2.3047,2.3787,2.146,2010-11-23 05:00:00,7651
21374385.0,2.345,2.3513,2.3647,2.398,2.2889,2010-11-24 05:00:00,6732
5258310.0,2.3559,2.3733,2.3547,2.4,2.3167,2010-11-26 05:00:00,1855
17183145.0,2.2871,2.3608,2.2887,2.3967,2.222,2010-11-29 05:00:00,6433
33344370.0,2.3319,2.2493,2.3553,2.3553,2.2273,2010-11-30 05:00:00,5648
19487625.0,2.329,2.3913,2.29,2.428,2.23,2010-12-01 05:00:00,6812
30104505.0,2.1544,2.2673,2.1567,2.2865,2.08,2010-12-02 05:00:00,10085
17406900.0,2.0999,2.134,2.0993,2.15,2.058,2010-12-03 05:00:00,6187
19115625.0,2.0233,2.09,2.0207,2.0967,1.9707,2010-12-06 05:00:00,6322
19673220.0,2.1026,2.0327,2.104,2.16,2.0033,2010-12-07 05:00:00,6306
9914700.0,2.1472,2.1653,2.158,2.166,2.1013,2010-12-08 05:00:00,3567
6089745.0,2.1384,2.1673,2.1367,2.1813,2.11,2010-12-09 05:00:00,1892
6440715.0,2.104,2.1367,2.1013,2.1947,2.0753,2010-12-10 05:00:00,2359
6154965.0,2.0619,2.1093,2.0367,2.118,2.0267,2010-12-13 05:00:00,1984
26503650.0,1.9057,2.0193,1.902,2.026,1.8507,2010-12-14 05:00:00,8389
11143500.0,1.9653,1.9113,1.9733,1.998,1.902,2010-12-15 05:00:00,3446
11851050.0,2.0285,2.0,2.054,2.0607,1.9767,2010-12-16 05:00:00,4658
12207255.0,2.0796,2.0893,2.0907,2.1027,2.0473,2010-12-17 05:00:00,3836
7849800.0,2.1137,2.1093,2.1133,2.146,2.084,2010-12-20 05:00:00,3004
11665170.0,2.1608,2.12,2.1507,2.1793,2.114,2010-12-21 05:00:00,4862
12498840.0,2.143,2.15,2.1753,2.1907,2.1133,2010-12-22 05:00:00,5617
23356875.0,2.0515,2.084,2.006,2.1653,1.9947,2010-12-23 05:00:00,7663
138891300.0,1.7469,1.868,1.7033,1.9053,1.6707,2010-12-27 05:00:00,46212
60848835.0,1.7362,1.7233,1.7607,1.7833,1.6667,2010-12-28 05:00:00,20749
49791450.0,1.834,1.802,1.8487,1.8673,1.7667,2010-12-29 05:00:00,13335
30616005.0,1.7944,1.8467,1.7667,1.86,1.7587,2010-12-30 05:00:00,8694
21267705.0,1.777,1.7713,1.7753,1.8167,1.7667,2010-12-31 05:00:00,4435
19261260.0,1.7608,1.7893,1.7747,1.8,1.7267,2011-01-03 05:00:00,6793
17836065.0,1.7687,1.7773,1.778,1.7967,1.7347,2011-01-04 05:00:00,6122
21703035.0,1.7759,1.7653,1.7887,1.7933,1.746,2011-01-05 05:00:00,6184
30918255.0,1.8416,1.7887,1.8587,1.8667,1.7873,2011-01-06 05:00:00,10461
33743100.0,1.8826,1.8667,1.8827,1.9053,1.86,2011-01-07 05:00:00,6966
20142180.0,1.8957,1.878,1.8967,1.912,1.87,2011-01-10 05:00:00,7653
25670325.0,1.8414,1.906,1.7973,1.914,1.7947,2011-01-11 05:00:00,8290
14470830.0,1.7873,1.8007,1.7973,1.8266,1.768,2011-01-12 05:00:00,5101
10852830.0,1.7565,1.7973,1.748,1.798,1.744,2011-01-13 05:00:00,3367
17881815.0,1.7299,1.7433,1.7167,1.772,1.7073,2011-01-14 05:00:00,6577
24357585.0,1.675,1.6987,1.7093,1.7093,1.65,2011-01-18 05:00:00,7433
35572710.0,1.6304,1.6847,1.602,1.698,1.5833,2011-01-19 05:00:00,15131
34199370.0,1.5402,1.602,1.508,1.63,1.4913,2011-01-20 05:00:00,11794
18254115.0,1.5391,1.5413,1.536,1.5727,1.514,2011-01-21 05:00:00,7107
24677835.0,1.616,1.5687,1.6327,1.654,1.5487,2011-01-24 05:00:00,8233
19073355.0,1.6363,1.6433,1.6453,1.6593,1.6013,2011-01-25 05:00:00,7752
16198005.0,1.6408,1.6473,1.65,1.6587,1.6067,2011-01-26 05:00:00,5352
13434825.0,1.6576,1.6493,1.6613,1.672,1.6353,2011-01-27 05:00:00,4814
15732165.0,1.6132,1.6587,1.6007,1.6587,1.5833,2011-01-28 05:00:00,5557
12473625.0,1.5904,1.6033,1.6067,1.608,1.5667,2011-01-31 05:00:00,4663
10616865.0,1.5899,1.6207,1.594,1.6487,1.5693,2011-02-01 05:00:00,3609
8542080.0,1.5965,1.6107,1.596,1.612,1.5779,2011-02-02 05:00:00,3602
7681005.0,1.5647,1.588,1.5753,1.5933,1.5433,2011-02-03 05:00:00,2616
8158755.0,1.5589,1.5627,1.564,1.578,1.548,2011-02-04 05:00:00,3402
13425165.0,1.5384,1.5507,1.538,1.5507,1.5253,2011-02-07 05:00:00,4801
52577745.0,1.6374,1.5853,1.6327,1.6833,1.5333,2011-02-08 05:00:00,16009
39543930.0,1.546,1.6087,1.5473,1.612,1.5193,2011-02-09 05:00:00,11368
12540300.0,1.551,1.5507,1.5477,1.576,1.5207,2011-02-10 05:00:00,4921
9549030.0,1.5569,1.55,1.55,1.5833,1.5293,2011-02-11 05:00:00,3317
19251060.0,1.561,1.576,1.5387,1.6093,1.5367,2011-02-14 05:00:00,6507
14412765.0,1.5254,1.534,1.5227,1.5447,1.504,2011-02-15 05:00:00,5369
61737090.0,1.6169,1.54,1.6487,1.6647,1.538,2011-02-16 05:00:00,20638
39299130.0,1.638,1.642,1.5733,1.6993,1.57,2011-02-17 05:00:00,12946
